# x	y_0	y_1	y_2	y_3	y_4	y_5	y_6	y_7
1.099000	1.112207	-0.000425	0.154754	0.000022	8.998090	-0.005495	0.469397	0.000105
1.100000	1.112207	-0.000422	0.154754	0.000020	8.998085	-0.005481	0.469397	0.000104
1.101000	1.112207	-0.000418	0.154755	0.000017	8.998080	-0.005468	0.469397	0.000104
1.102000	1.112206	-0.000414	0.154755	0.000015	8.998074	-0.005455	0.469397	0.000103
1.103000	1.112206	-0.000411	0.154755	0.000012	8.998069	-0.005441	0.469397	0.000103
1.104000	1.112205	-0.000407	0.154755	0.000009	8.998063	-0.005428	0.469398	0.000102
1.105000	1.112205	-0.000404	0.154755	0.000007	8.998058	-0.005415	0.469398	0.000102
1.106000	1.112205	-0.000400	0.154755	0.000004	8.998052	-0.005402	0.469398	0.000101
1.107000	1.112204	-0.000397	0.154755	0.000002	8.998047	-0.005389	0.469398	0.000100
1.108000	1.112204	-0.000394	0.154755	-0.000001	8.998042	-0.005375	0.469398	0.000100
1.109000	1.112203	-0.000390	0.154755	-0.000003	8.998036	-0.005362	0.469398	0.000099
1.110000	1.112203	-0.000387	0.154755	-0.000005	8.998031	-0.005349	0.469398	0.000099
1.111000	1.112203	-0.000384	0.154755	-0.000008	8.998026	-0.005336	0.469398	0.000098
1.112000	1.112202	-0.000381	0.154755	-0.000010	8.998020	-0.005323	0.469398	0.000098
1.113000	1.112202	-0.000378	0.154755	-0.000013	8.998015	-0.005310	0.469398	0.000097
1.114000	1.112201	-0.000375	0.154755	-0.000015	8.998010	-0.005297	0.469398	0.000097
1.115000	1.112201	-0.000372	0.154755	-0.000017	8.998004	-0.005285	0.469399	0.000096
1.116000	1.112201	-0.000369	0.154754	-0.000020	8.997999	-0.005272	0.469399	0.000096
1.117000	1.112200	-0.000366	0.154754	-0.000022	8.997994	-0.005259	0.469399	0.000095
1.118000	1.112200	-0.000364	0.154754	-0.000024	8.997988	-0.005246	0.469399	0.000095
1.119000	1.112200	-0.000361	0.154754	-0.000027	8.997983	-0.005234	0.469399	0.000094
1.120000	1.112199	-0.000358	0.154754	-0.000029	8.997978	-0.005221	0.469399	0.000094
1.121000	1.112199	-0.000356	0.154754	-0.000031	8.997973	-0.005209	0.469399	0.000093
1.122000	1.112199	-0.000353	0.154754	-0.000034	8.997968	-0.005196	0.469399	0.000093
1.123000	1.112198	-0.000351	0.154754	-0.000036	8.997962	-0.005184	0.469399	0.000092
1.124000	1.112198	-0.000349	0.154754	-0.000038	8.997957	-0.005172	0.469399	0.000091
1.125000	1.112198	-0.000346	0.154754	-0.000040	8.997952	-0.005160	0.469400	0.000091
1.126000	1.112197	-0.000344	0.154754	-0.000042	8.997947	-0.005148	0.469400	0.000090
1.127000	1.112197	-0.000342	0.154754	-0.000045	8.997942	-0.005136	0.469400	0.000090
1.128000	1.112196	-0.000340	0.154754	-0.000047	8.997937	-0.005124	0.469400	0.000089
1.129000	1.112196	-0.000338	0.154754	-0.000049	8.997932	-0.005112	0.469400	0.000089
1.130000	1.112196	-0.000336	0.154754	-0.000051	8.997926	-0.005100	0.469400	0.000088
1.131000	1.112195	-0.000334	0.154754	-0.000053	8.997921	-0.005088	0.469400	0.000088
1.132000	1.112195	-0.000332	0.154754	-0.000055	8.997916	-0.005077	0.469400	0.000087
1.133000	1.112195	-0.000330	0.154754	-0.000057	8.997911	-0.005065	0.469400	0.000087
1.134000	1.112194	-0.000328	0.154754	-0.000059	8.997906	-0.005054	0.469400	0.000086
1.135000	1.112194	-0.000327	0.154754	-0.000061	8.997901	-0.005043	0.469400	0.000086
1.136000	1.112194	-0.000325	0.154754	-0.000063	8.997896	-0.005031	0.469400	0.000086
1.137000	1.112194	-0.000323	0.154754	-0.000065	8.997891	-0.005020	0.469401	0.000085
1.138000	1.112193	-0.000322	0.154754	-0.000067	8.997886	-0.005009	0.469401	0.000085
1.139000	1.112193	-0.000320	0.154753	-0.000069	8.997881	-0.004998	0.469401	0.000084
1.140000	1.112193	-0.000319	0.154753	-0.000071	8.997876	-0.004988	0.469401	0.000084
1.141000	1.112192	-0.000318	0.154753	-0.000073	8.997871	-0.004977	0.469401	0.000083
1.142000	1.112192	-0.000316	0.154753	-0.000075	8.997866	-0.004966	0.469401	0.000083
1.143000	1.112192	-0.000315	0.154753	-0.000077	8.997861	-0.004956	0.469401	0.000082
1.144000	1.112191	-0.000314	0.154753	-0.000079	8.997856	-0.004945	0.469401	0.000082
1.145000	1.112191	-0.000313	0.154753	-0.000080	8.997851	-0.004935	0.469401	0.000082
1.146000	1.112191	-0.000312	0.154753	-0.000082	8.997846	-0.004925	0.469401	0.000081
1.147000	1.112190	-0.000311	0.154753	-0.000084	8.997841	-0.004915	0.469401	0.000081
1.148000	1.112190	-0.000310	0.154753	-0.000086	8.997836	-0.004905	0.469401	0.000080
1.149000	1.112190	-0.000309	0.154753	-0.000088	8.997832	-0.004895	0.469402	0.000080
1.150000	1.112189	-0.000308	0.154753	-0.000089	8.997827	-0.004885	0.469402	0.000080
1.151000	1.112189	-0.000308	0.154752	-0.000091	8.997822	-0.004876	0.469402	0.000079
1.152000	1.112189	-0.000307	0.154752	-0.000093	8.997817	-0.004866	0.469402	0.000079
1.153000	1.112188	-0.000307	0.154752	-0.000095	8.997812	-0.004857	0.469402	0.000078
1.154000	1.112188	-0.000306	0.154752	-0.000096	8.997807	-0.004847	0.469402	0.000078
1.155000	1.112188	-0.000305	0.154752	-0.000098	8.997802	-0.004838	0.469402	0.000078
1.156000	1.112188	-0.000305	0.154752	-0.000099	8.997797	-0.004829	0.469402	0.000077
1.157000	1.112187	-0.000305	0.154752	-0.000101	8.997793	-0.004820	0.469402	0.000077
1.158000	1.112187	-0.000304	0.154752	-0.000103	8.997788	-0.004811	0.469402	0.000077
1.159000	1.112187	-0.000304	0.154752	-0.000104	8.997783	-0.004803	0.469402	0.000076
1.160000	1.112186	-0.000304	0.154752	-0.000106	8.997778	-0.004794	0.469402	0.000076
1.161000	1.112186	-0.000304	0.154751	-0.000107	8.997773	-0.004786	0.469403	0.000076
1.162000	1.112186	-0.000304	0.154751	-0.000109	8.997769	-0.004777	0.469403	0.000075
1.163000	1.112185	-0.000304	0.154751	-0.000110	8.997764	-0.004769	0.469403	0.000075
1.164000	1.112185	-0.000304	0.154751	-0.000112	8.997759	-0.004761	0.469403	0.000075
1.165000	1.112185	-0.000304	0.154751	-0.000113	8.997754	-0.004753	0.469403	0.000075
1.166000	1.112185	-0.000304	0.154751	-0.000115	8.997750	-0.004745	0.469403	0.000074
1.167000	1.112184	-0.000304	0.154751	-0.000116	8.997745	-0.004737	0.469403	0.000074
1.168000	1.112184	-0.000305	0.154751	-0.000118	8.997740	-0.004730	0.469403	0.000074
1.169000	1.112184	-0.000305	0.154751	-0.000119	8.997735	-0.004722	0.469403	0.000073
1.170000	1.112183	-0.000305	0.154750	-0.000120	8.997731	-0.004715	0.469403	0.000073
1.171000	1.112183	-0.000306	0.154750	-0.000122	8.997726	-0.004708	0.469403	0.000073
1.172000	1.112183	-0.000306	0.154750	-0.000123	8.997721	-0.004701	0.469403	0.000073
1.173000	1.112182	-0.000307	0.154750	-0.000124	8.997717	-0.004694	0.469403	0.000073
1.174000	1.112182	-0.000308	0.154750	-0.000126	8.997712	-0.004687	0.469403	0.000072
1.175000	1.112182	-0.000308	0.154750	-0.000127	8.997707	-0.004680	0.469404	0.000072
1.176000	1.112181	-0.000309	0.154750	-0.000128	8.997703	-0.004674	0.469404	0.000072
1.177000	1.112181	-0.000310	0.154750	-0.000129	8.997698	-0.004667	0.469404	0.000072
1.178000	1.112181	-0.000311	0.154749	-0.000131	8.997693	-0.004661	0.469404	0.000072
1.179000	1.112181	-0.000312	0.154749	-0.000132	8.997689	-0.004655	0.469404	0.000071
1.180000	1.112180	-0.000312	0.154749	-0.000133	8.997684	-0.004649	0.469404	0.000071
1.181000	1.112180	-0.000313	0.154749	-0.000134	8.997679	-0.004643	0.469404	0.000071
1.182000	1.112180	-0.000315	0.154749	-0.000135	8.997675	-0.004637	0.469404	0.000071
1.183000	1.112179	-0.000316	0.154749	-0.000136	8.997670	-0.004631	0.469404	0.000071
1.184000	1.112179	-0.000317	0.154749	-0.000138	8.997665	-0.004626	0.469404	0.000071
1.185000	1.112179	-0.000318	0.154749	-0.000139	8.997661	-0.004620	0.469404	0.000071
