# x	y_0	y_1	y_2	y_3	y_4	y_5	y_6	y_7
1.084000	0.003907	0.003731	0.810203	0.000279	1.000000	0.000008	0.384668	0.000173
1.085000	0.003911	0.003735	0.810204	0.000279	1.000000	0.000008	0.384668	0.000174
1.086000	0.003915	0.003738	0.810204	0.000279	1.000000	0.000009	0.384669	0.000174
1.087000	0.003919	0.003742	0.810204	0.000279	1.000000	0.000009	0.384669	0.000174
1.088000	0.003922	0.003746	0.810204	0.000280	1.000000	0.000009	0.384669	0.000174
1.089000	0.003926	0.003749	0.810205	0.000280	1.000000	0.000009	0.384669	0.000175
1.090000	0.003930	0.003753	0.810205	0.000280	1.000000	0.000009	0.384669	0.000175
1.091000	0.003934	0.003756	0.810205	0.000280	1.000000	0.000009	0.384670	0.000175
1.092000	0.003937	0.003760	0.810206	0.000280	1.000000	0.000009	0.384670	0.000175
1.093000	0.003941	0.003763	0.810206	0.000280	1.000000	0.000009	0.384670	0.000176
1.094000	0.003945	0.003767	0.810206	0.000280	1.000000	0.000009	0.384670	0.000176
1.095000	0.003949	0.003771	0.810206	0.000280	1.000000	0.000009	0.384670	0.000176
1.096000	0.003952	0.003774	0.810207	0.000280	1.000000	0.000009	0.384670	0.000176
1.097000	0.003956	0.003778	0.810207	0.000280	1.000000	0.000009	0.384671	0.000177
1.098000	0.003960	0.003782	0.810207	0.000280	1.000000	0.000009	0.384671	0.000177
1.099000	0.003964	0.003785	0.810207	0.000280	1.000001	0.000010	0.384671	0.000177
1.100000	0.003968	0.003789	0.810208	0.000280	1.000001	0.000010	0.384671	0.000177
1.101000	0.003971	0.003792	0.810208	0.000280	1.000001	0.000010	0.384671	0.000178
1.102000	0.003975	0.003796	0.810208	0.000281	1.000001	0.000010	0.384671	0.000178
1.103000	0.003979	0.003800	0.810209	0.000281	1.000001	0.000010	0.384672	0.000178
1.104000	0.003983	0.003803	0.810209	0.000281	1.000001	0.000010	0.384672	0.000179
1.105000	0.003987	0.003807	0.810209	0.000281	1.000001	0.000010	0.384672	0.000179
1.106000	0.003990	0.003811	0.810209	0.000281	1.000001	0.000010	0.384672	0.000179
1.107000	0.003994	0.003814	0.810210	0.000281	1.000001	0.000010	0.384672	0.000179
1.108000	0.003998	0.003818	0.810210	0.000281	1.000001	0.000010	0.384673	0.000180
1.109000	0.004002	0.003822	0.810210	0.000281	1.000001	0.000010	0.384673	0.000180
